iter,loss,elbo,kl,weighted_kl,kl_weight
1,43678.203125,-43678.203125,0.2980640232563019,0.0,0
2,43308.90625,-43308.90625,0.33549192547798157,0.0,0
3,42903.1953125,-42903.1953125,0.4361458420753479,0.0,0
4,42334.4375,-42334.4375,0.5866042971611023,0.0,0
5,41609.44140625,-41609.44140625,0.7850163578987122,0.0,0
6,40698.171875,-40698.171875,1.035512089729309,0.0,0
7,39087.65625,-39087.65625,1.3561326265335083,0.0,0
8,37090.65625,-37090.65625,1.7607383728027344,0.0,0
9,34955.93359375,-34955.93359375,2.278002977371216,0.0,0
10,32193.265625,-32193.265625,2.9141852855682373,0.0,0
11,29307.736328125,-29307.736328125,3.6566781997680664,0.0,0
12,27299.4765625,-27299.4765625,4.4819135665893555,0.0,0
13,27177.4609375,-27177.4609375,5.314388751983643,0.0,0
14,26070.80859375,-26070.80859375,6.0277419090271,0.0,0
15,24015.068359375,-24015.068359375,6.626688003540039,0.0,0
16,22055.134765625,-22055.134765625,7.178991317749023,0.0,0
17,20164.96875,-20164.96875,7.74507999420166,0.0,0
18,19029.26171875,-19029.26171875,8.362238883972168,0.0,0
19,18468.2421875,-18468.2421875,9.048445701599121,0.0,0
20,17727.84765625,-17727.84765625,9.798728942871094,0.0,0
21,17597.796875,-17597.796875,10.61032485961914,0.0,0
22,17385.556640625,-17385.556640625,11.454883575439453,0.0,0
23,17255.984375,-17255.984375,12.312277793884277,0.0,0
24,16764.189453125,-16764.189453125,13.153799057006836,0.0,0
25,16129.8046875,-16129.8046875,13.973342895507812,0.0,0
26,15690.9228515625,-15690.9228515625,14.755020141601562,0.0,0
27,15133.7705078125,-15133.7705078125,15.511160850524902,0.0,0
28,14731.81640625,-14731.81640625,16.243680953979492,0.0,0
29,14419.04296875,-14419.04296875,16.9677791595459,0.0,0
30,14147.07421875,-14147.07421875,17.699501037597656,0.0,0
31,13945.3505859375,-13945.3505859375,18.45392608642578,0.0,0
32,13829.802734375,-13829.802734375,19.245210647583008,0.0,0
33,13661.45703125,-13661.45703125,20.075843811035156,0.0,0
34,13461.642578125,-13461.642578125,20.944047927856445,0.0,0
35,13179.31640625,-13179.31640625,21.854360580444336,0.0,0
36,13134.8681640625,-13134.8681640625,22.81051254272461,0.0,0
37,12945.8515625,-12945.8515625,23.812320709228516,0.0,0
38,12899.5888671875,-12899.5888671875,24.8492488861084,0.0,0
39,12631.216796875,-12631.216796875,25.905841827392578,0.0,0
40,12633.2421875,-12633.2421875,26.95229721069336,0.0,0
41,12604.86328125,-12604.86328125,27.96359634399414,0.0,0
42,12528.990234375,-12528.990234375,28.91947364807129,0.0,0
43,12450.64453125,-12450.64453125,29.78216552734375,0.0,0
44,12433.8388671875,-12433.8388671875,30.55293846130371,0.0,0
45,12524.326171875,-12524.326171875,31.218595504760742,0.0,0
46,12409.056640625,-12409.056640625,31.76932144165039,0.0,0
47,12350.2919921875,-12350.2919921875,32.202796936035156,0.0,0
48,12381.2705078125,-12381.2705078125,32.56300735473633,0.0,0
49,12317.0146484375,-12317.0146484375,32.874446868896484,0.0,0
50,12192.5087890625,-12192.5087890625,33.14469528198242,0.0,0
51,12293.2431640625,-12293.2431640625,33.38536071777344,0.0,0
52,12360.5927734375,-12360.5927734375,33.6073112487793,0.0,0
53,12289.2509765625,-12289.2509765625,33.801025390625,0.0,0
54,12348.6162109375,-12348.6162109375,33.98740768432617,0.0,0
55,12306.6142578125,-12306.6142578125,34.15364074707031,0.0,0
56,12153.9365234375,-12153.9365234375,34.306068420410156,0.0,0
57,12235.90234375,-12235.90234375,34.45652770996094,0.0,0
58,12205.33984375,-12205.33984375,34.59446716308594,0.0,0
59,12308.0830078125,-12308.0830078125,34.72919845581055,0.0,0
60,12179.2314453125,-12179.2314453125,34.86286163330078,0.0,0
61,12272.9970703125,-12272.9970703125,34.9975471496582,0.0,0
62,12213.07421875,-12213.07421875,35.14214324951172,0.0,0
63,12140.9453125,-12140.9453125,35.27693176269531,0.0,0
64,12159.388671875,-12159.388671875,35.39370346069336,0.0,0
65,12160.46875,-12160.46875,35.485633850097656,0.0,0
66,12099.8115234375,-12099.8115234375,35.55143737792969,0.0,0
67,12174.9912109375,-12174.9912109375,35.58551025390625,0.0,0
68,12074.1728515625,-12074.1728515625,35.600040435791016,0.0,0
69,12131.4365234375,-12131.4365234375,35.583255767822266,0.0,0
70,12070.1923828125,-12070.1923828125,35.542236328125,0.0,0
71,12125.6201171875,-12125.6201171875,35.49835968017578,0.0,0
72,12159.6123046875,-12159.6123046875,35.4456672668457,0.0,0
73,12118.9765625,-12118.9765625,35.41252517700195,0.0,0
74,12108.033203125,-12108.033203125,35.399635314941406,0.0,0
75,12004.1376953125,-12004.1376953125,35.4161491394043,0.0,0
76,12033.5322265625,-12033.5322265625,35.44969177246094,0.0,0
77,11996.0498046875,-11996.0498046875,35.507354736328125,0.0,0
78,12068.966796875,-12068.966796875,35.58661651611328,0.0,0
79,12030.8017578125,-12030.8017578125,35.687931060791016,0.0,0
80,12113.966796875,-12113.966796875,35.79313278198242,0.0,0
81,12040.2333984375,-12040.2333984375,35.91663360595703,0.0,0
82,12061.6044921875,-12061.6044921875,36.06448745727539,0.0,0
83,12010.623046875,-12010.623046875,36.21657943725586,0.0,0
84,11976.4794921875,-11976.4794921875,36.36773681640625,0.0,0
85,11991.0908203125,-11991.0908203125,36.525352478027344,0.0,0
86,11968.501953125,-11968.501953125,36.676307678222656,0.0,0
87,11922.890625,-11922.890625,36.82400894165039,0.0,0
88,11989.21875,-11989.21875,36.96698760986328,0.0,0
89,11946.462890625,-11946.462890625,37.08565139770508,0.0,0
90,11890.369140625,-11890.369140625,37.220489501953125,0.0,0
91,11955.71875,-11955.71875,37.36711883544922,0.0,0
92,11881.3046875,-11881.3046875,37.49909591674805,0.0,0
93,11927.998046875,-11927.998046875,37.635345458984375,0.0,0
94,12005.6318359375,-12005.6318359375,37.77362060546875,0.0,0
95,11881.3974609375,-11881.3974609375,37.9046516418457,0.0,0
96,11901.7763671875,-11901.7763671875,38.060546875,0.0,0
97,11882.2900390625,-11882.2900390625,38.222232818603516,0.0,0
98,11882.4189453125,-11882.4189453125,38.41793441772461,0.0,0
