model,concepts,version,label,best_epoch,best_train_loss,best_train_accuracy,best_train_auc,best_val_loss,best_val_accuracy,best_val_auc,test_loss,test_accuracy,test_auc,save_dir
lstm_dkt,2,0,c2_v00_epochs-300_lr-0.001_hidden-64_layers-1,34,0.4006474483013153,0.8117602040816326,0.8773424911069186,0.41336460947990417,0.8024489795918367,0.8699338769860375,0.40786145234107973,0.8082959183673469,0.8741683151277474,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v00_epochs-300_lr-0.001_hidden-64_layers-1
lstm_dkt,2,1,c2_v01_epochs-300_lr-0.001_hidden-64_layers-1,30,0.3939240777492523,0.817155612244898,0.8836546933859608,0.40055259704589846,0.8123979591836735,0.8759873712733595,0.4081575620174408,0.8082755102040816,0.8747075262414035,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v01_epochs-300_lr-0.001_hidden-64_layers-1
lstm_dkt,2,2,c2_v02_epochs-300_lr-0.001_hidden-64_layers-1,31,0.41836595654487607,0.8014158163265306,0.8737068374292434,0.4131748640537262,0.8071428571428572,0.8758413836966528,0.42380381560325625,0.799734693877551,0.8681815577745354,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v02_epochs-300_lr-0.001_hidden-64_layers-1
lstm_dkt,2,3,c2_v03_epochs-300_lr-0.001_hidden-64_layers-1,53,0.4044928503036499,0.8145535714285714,0.8756148214872111,0.40659305930137635,0.813265306122449,0.870741077422454,0.40924495458602905,0.8112857142857143,0.8701296020352639,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v03_epochs-300_lr-0.001_hidden-64_layers-1
lstm_dkt,2,4,c2_v04_epochs-300_lr-0.001_hidden-64_layers-1,24,0.4012317430973053,0.8113010204081633,0.879628373849142,0.4088165295124054,0.8066836734693877,0.8787057853439817,0.40930703735351565,0.8053265306122449,0.875067853708092,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v04_epochs-300_lr-0.001_hidden-64_layers-1
lstm_dkt,2,5,c2_v05_epochs-300_lr-0.001_hidden-64_layers-1,31,0.399893718957901,0.8126020408163265,0.8786318889707275,0.39466623187065125,0.8125510204081633,0.8787306546667055,0.40184074187278745,0.8102959183673469,0.8750989503889014,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v05_epochs-300_lr-0.001_hidden-64_layers-1
lstm_dkt,2,6,c2_v06_epochs-300_lr-0.001_hidden-64_layers-1,37,0.4139131391048431,0.8041071428571429,0.8757401375348401,0.43764159321784973,0.7893367346938776,0.8610856774549227,0.43225082564353945,0.7933571428571429,0.8662003374582156,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v06_epochs-300_lr-0.001_hidden-64_layers-1
lstm_dkt,2,7,c2_v07_epochs-300_lr-0.001_hidden-64_layers-1,24,0.4158348774909973,0.8070025510204082,0.8756350526722092,0.42216636657714846,0.804795918367347,0.8728015206433091,0.4215999484062195,0.8036530612244898,0.8703436538557823,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v07_epochs-300_lr-0.001_hidden-64_layers-1
lstm_dkt,2,8,c2_v08_epochs-300_lr-0.001_hidden-64_layers-1,35,0.4119741928577423,0.8035076530612245,0.8761296592022099,0.4055115783214569,0.8098469387755102,0.8778987625566229,0.41465177583694457,0.8026122448979592,0.8722858081861333,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v08_epochs-300_lr-0.001_hidden-64_layers-1
lstm_dkt,2,9,c2_v09_epochs-300_lr-0.001_hidden-64_layers-1,50,0.3956667363643646,0.813469387755102,0.8828926675574942,0.4132184338569641,0.8009693877551021,0.8733855318006398,0.4077508249282837,0.8069591836734694,0.8760833206753804,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v09_epochs-300_lr-0.001_hidden-64_layers-1
lstm_dkt,2,10,c2_v10_epochs-300_lr-0.001_hidden-64_layers-1,26,0.40947139978408814,0.8044132653061224,0.8770405067794844,0.42094547510147096,0.7943877551020408,0.8698554987331665,0.4202728009223938,0.7995612244897959,0.8706495044319399,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v10_epochs-300_lr-0.001_hidden-64_layers-1
lstm_dkt,2,11,c2_v11_epochs-300_lr-0.001_hidden-64_layers-1,30,0.4153282904624939,0.804579081632653,0.8767211620620499,0.4080460703372955,0.805765306122449,0.875579596672788,0.408228844165802,0.8065714285714286,0.8761187205812273,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v11_epochs-300_lr-0.001_hidden-64_layers-1
lstm_dkt,2,12,c2_v12_epochs-300_lr-0.001_hidden-64_layers-1,45,0.4137069487571716,0.8040306122448979,0.8784407717952858,0.4180689191818237,0.8001020408163265,0.8771787832789237,0.41972855186462404,0.8008061224489796,0.8740083139173771,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v12_epochs-300_lr-0.001_hidden-64_layers-1
lstm_dkt,2,13,c2_v13_epochs-300_lr-0.001_hidden-64_layers-1,36,0.41155466079711917,0.8066198979591837,0.8753149089933235,0.4235482001304626,0.7991326530612245,0.8735964995391161,0.419712495803833,0.8023775510204082,0.8696138485545774,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v13_epochs-300_lr-0.001_hidden-64_layers-1
lstm_dkt,2,14,c2_v14_epochs-300_lr-0.001_hidden-64_layers-1,31,0.41718230962753294,0.8030229591836735,0.875300531339477,0.4222135186195374,0.7990306122448979,0.8706942366567442,0.427153749704361,0.7972142857142858,0.868947081281477,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v14_epochs-300_lr-0.001_hidden-64_layers-1
lstm_dkt,2,15,c2_v15_epochs-300_lr-0.001_hidden-64_layers-1,33,0.41942184448242187,0.8030229591836735,0.8727270173273061,0.4307719933986664,0.7966326530612244,0.8648710862360012,0.4216232612133026,0.8011530612244898,0.86890092840594,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v15_epochs-300_lr-0.001_hidden-64_layers-1
lstm_dkt,2,16,c2_v16_epochs-300_lr-0.001_hidden-64_layers-1,30,0.40704781889915465,0.8062372448979592,0.876394730397446,0.40990745425224306,0.8033673469387755,0.8794626971552348,0.4100737512111664,0.804561224489796,0.8747244182947741,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v16_epochs-300_lr-0.001_hidden-64_layers-1
lstm_dkt,2,17,c2_v17_epochs-300_lr-0.001_hidden-64_layers-1,26,0.4106945550441742,0.8091964285714286,0.8752600116270836,0.4235524880886078,0.803265306122449,0.8649047489222456,0.4178886048793793,0.8055102040816327,0.8709886755605689,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results/c2_v17_epochs-300_lr-0.001_hidden-64_layers-1
