model,concepts,n_runs,test_loss_mean,test_loss_std,test_loss_stderr,test_accuracy_mean,test_accuracy_std,test_accuracy_stderr,test_auc_mean,test_auc_std,test_auc_stderr
lstm_dkt,2,20,0.4140271657705307,0.009177918992942166,0.0020522450760205096,0.8044658163265307,0.0049192389008550965,0.0010999752579873344,0.8726401806961694,0.0034757172493311153,0.000777194004007296
lstm_dkt,5,20,0.5038600182056427,0.006690847819801611,0.0014961190552182666,0.7507887755102041,0.004120412046884663,0.0009213521432143157,0.8233182997157522,0.0034291453994269457,0.0007667802217849319
