Training Run w/ 1000 epochs, KL_weight = 0.1


Training Latent ODE...
Epoch 580/1000 | Total: 0.550289 | Recon: 0.433880 | KL: 1.164091 | KL Weight: 0.100000
Epoch 590/1000 | Total: 0.542640 | Recon: 0.426773 | KL: 1.158673 | KL Weight: 0.100000
Epoch 600/1000 | Total: 0.645019 | Recon: 0.533221 | KL: 1.117979 | KL Weight: 0.100000
Epoch 610/1000 | Total: 0.557956 | Recon: 0.435572 | KL: 1.223835 | KL Weight: 0.100000
Epoch 620/1000 | Total: 0.584138 | Recon: 0.471864 | KL: 1.122741 | KL Weight: 0.100000
Epoch 630/1000 | Total: 0.612050 | Recon: 0.500211 | KL: 1.118390 | KL Weight: 0.100000
Epoch 640/1000 | Total: 0.582321 | Recon: 0.469161 | KL: 1.131602 | KL Weight: 0.100000
Epoch 650/1000 | Total: 0.526615 | Recon: 0.414416 | KL: 1.121992 | KL Weight: 0.100000
Epoch 660/1000 | Total: 0.607258 | Recon: 0.500000 | KL: 1.072579 | KL Weight: 0.100000
Epoch 670/1000 | Total: 0.589757 | Recon: 0.479755 | KL: 1.100017 | KL Weight: 0.100000
Epoch 680/1000 | Total: 0.610580 | Recon: 0.493833 | KL: 1.167470 | KL Weight: 0.100000
Epoch 690/1000 | Total: 0.549154 | Recon: 0.432680 | KL: 1.164742 | KL Weight: 0.100000
Epoch 700/1000 | Total: 0.558288 | Recon: 0.444476 | KL: 1.138117 | KL Weight: 0.100000
Epoch 710/1000 | Total: 0.612093 | Recon: 0.495406 | KL: 1.166879 | KL Weight: 0.100000
Epoch 720/1000 | Total: 0.569175 | Recon: 0.452441 | KL: 1.167332 | KL Weight: 0.100000
Epoch 730/1000 | Total: 0.636910 | Recon: 0.524575 | KL: 1.123353 | KL Weight: 0.100000
Epoch 740/1000 | Total: 0.539640 | Recon: 0.416973 | KL: 1.226669 | KL Weight: 0.100000
Epoch 750/1000 | Total: 0.575510 | Recon: 0.455273 | KL: 1.202366 | KL Weight: 0.100000
Epoch 760/1000 | Total: 0.562355 | Recon: 0.432801 | KL: 1.295540 | KL Weight: 0.100000
Epoch 770/1000 | Total: 0.593573 | Recon: 0.464083 | KL: 1.294892 | KL Weight: 0.100000
Epoch 780/1000 | Total: 0.578626 | Recon: 0.459809 | KL: 1.188171 | KL Weight: 0.100000
Epoch 790/1000 | Total: 0.544198 | Recon: 0.420457 | KL: 1.237407 | KL Weight: 0.100000
Epoch 800/1000 | Total: 0.574390 | Recon: 0.455005 | KL: 1.193852 | KL Weight: 0.100000
Epoch 810/1000 | Total: 0.561274 | Recon: 0.441370 | KL: 1.199044 | KL Weight: 0.100000
Epoch 820/1000 | Total: 0.565516 | Recon: 0.449147 | KL: 1.163694 | KL Weight: 0.100000
Epoch 830/1000 | Total: 0.569509 | Recon: 0.454427 | KL: 1.150820 | KL Weight: 0.100000
Epoch 840/1000 | Total: 0.520538 | Recon: 0.409737 | KL: 1.108013 | KL Weight: 0.100000
Epoch 850/1000 | Total: 0.536458 | Recon: 0.426850 | KL: 1.096085 | KL Weight: 0.100000
Epoch 860/1000 | Total: 0.602941 | Recon: 0.493081 | KL: 1.098604 | KL Weight: 0.100000
Epoch 870/1000 | Total: 0.578202 | Recon: 0.461147 | KL: 1.170555 | KL Weight: 0.100000
Epoch 880/1000 | Total: 0.575401 | Recon: 0.457177 | KL: 1.182243 | KL Weight: 0.100000
Epoch 890/1000 | Total: 0.595511 | Recon: 0.477731 | KL: 1.177798 | KL Weight: 0.100000
Epoch 900/1000 | Total: 0.578740 | Recon: 0.459550 | KL: 1.191905 | KL Weight: 0.100000
Epoch 910/1000 | Total: 0.586897 | Recon: 0.471287 | KL: 1.156095 | KL Weight: 0.100000
Epoch 920/1000 | Total: 0.567014 | Recon: 0.457677 | KL: 1.093375 | KL Weight: 0.100000
Epoch 930/1000 | Total: 0.562681 | Recon: 0.456485 | KL: 1.061962 | KL Weight: 0.100000
Epoch 940/1000 | Total: 0.626921 | Recon: 0.513979 | KL: 1.129416 | KL Weight: 0.100000
Epoch 950/1000 | Total: 0.535802 | Recon: 0.413514 | KL: 1.222885 | KL Weight: 0.100000
Epoch 960/1000 | Total: 0.543708 | Recon: 0.425871 | KL: 1.178373 | KL Weight: 0.100000
Epoch 970/1000 | Total: 0.571216 | Recon: 0.452210 | KL: 1.190066 | KL Weight: 0.100000
Epoch 980/1000 | Total: 0.580297 | Recon: 0.457040 | KL: 1.232575 | KL Weight: 0.100000
Epoch 990/1000 | Total: 0.577435 | Recon: 0.457134 | KL: 1.203005 | KL Weight: 0.100000
Epoch 1000/1000 | Total: 0.556977 | Recon: 0.437610 | KL: 1.193665 | KL Weight: 0.100000
