model,concepts,version,label,best_epoch,epochs_completed,best_train_loss,best_train_accuracy,best_train_auc,best_val_loss,best_val_accuracy,best_val_auc,test_loss,test_accuracy,test_auc,save_dir
ode_rnn_dkt,2,16,c2_v16_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,45,65,0.40669012904167173,0.8061607142857142,0.8765966103010548,0.41366104006767274,0.8008673469387755,0.8772617416437993,0.41329056668281555,0.8021530612244898,0.8726114032120689,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v16_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,17,c2_v17_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,34,54,0.4145242238044739,0.8075382653061225,0.87251217726784,0.4255345726013184,0.8020918367346939,0.863492266365701,0.41816457629203796,0.8058979591836735,0.8708968825971642,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v17_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,18,c2_v18_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,32,52,0.40802844762802126,0.805905612244898,0.8749677222554046,0.414244556427002,0.8008673469387755,0.8725189902783999,0.4032068312168121,0.8088367346938775,0.8771230860545222,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v18_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,19,c2_v19_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,35,55,0.40405696868896485,0.8085714285714286,0.8754868420636774,0.40528199791908265,0.8085204081632653,0.8772504017964712,0.4012050483226776,0.8101224489795918,0.8766232582650728,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v19_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,0,c5_v00_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,42,62,0.4880343437194824,0.7550892857142857,0.831187454959499,0.49762992024421693,0.75,0.8225085485595214,0.4968293564319611,0.7528673469387756,0.8235835072532559,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v00_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,1,c5_v01_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,50,70,0.48547269821166994,0.7568112244897959,0.8351145863951865,0.490428112745285,0.7514795918367347,0.8278475806239558,0.5033657112121582,0.7450816326530613,0.820129464470984,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v01_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,2,c5_v02_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,43,63,0.4912730872631073,0.7546428571428572,0.8333937089121384,0.5037284183502198,0.7447448979591836,0.8239149912437693,0.49968805932998656,0.7483367346938775,0.8271514804668951,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v02_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,3,c5_v03_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,46,66,0.4931881058216095,0.754655612244898,0.8320212226401422,0.5017984175682068,0.7472448979591837,0.8263317529274912,0.5071644024848938,0.7463367346938775,0.8201324854787724,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v03_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,4,c5_v04_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,52,72,0.4933140814304352,0.7595535714285714,0.8328348050957279,0.5180897784233093,0.741734693877551,0.814068660539004,0.5077002019882202,0.7487142857142857,0.8224769530876308,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v04_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,5,c5_v05_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,42,62,0.4913394439220429,0.7596938775510204,0.8339847570784042,0.5064799165725709,0.7496938775510205,0.8219466728388103,0.5028338422775268,0.7542551020408164,0.8253387422306239,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v05_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,6,c5_v06_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,45,65,0.5011686480045319,0.7544005102040816,0.8272488475653322,0.518265346288681,0.7412755102040817,0.8129847593540808,0.5167940092086792,0.7447244897959183,0.8145081005150998,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v06_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,7,c5_v07_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,39,59,0.4898618459701538,0.7576530612244898,0.8323921031995342,0.5108670592308044,0.7458673469387755,0.8174987263603983,0.513946563243866,0.7414285714285714,0.8152998570858003,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v07_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,8,c5_v08_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,49,69,0.49584850907325745,0.7529081632653061,0.828416766897795,0.505299504995346,0.7518877551020409,0.8229810028519615,0.5054166436195373,0.7496326530612245,0.8211377801247988,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v08_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,9,c5_v09_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,54,74,0.49302637577056885,0.7600255102040816,0.8332380816678082,0.5069714570045472,0.7524489795918368,0.8226032040123907,0.5164055767059326,0.7466326530612245,0.8154435511081045,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v09_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,10,c5_v10_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,52,72,0.5020764458179474,0.7564158163265307,0.8272934910583108,0.5064341330528259,0.7559183673469387,0.8226436080231918,0.5092705216407776,0.7517857142857143,0.8206627779405213,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v10_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,11,c5_v11_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,52,72,0.49717082262039186,0.75125,0.8290912512641275,0.5108386826515198,0.7446428571428572,0.8175153635531198,0.5102734913825989,0.7465918367346939,0.8192798078301489,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v11_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,12,c5_v12_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,36,56,0.48429287791252135,0.7613010204081633,0.8345496532231932,0.49600584745407106,0.7547448979591836,0.8253856785040022,0.49911019134521484,0.7525408163265306,0.8216652062282106,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v12_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,13,c5_v13_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,44,64,0.49605576276779173,0.7561607142857143,0.8317250089807559,0.5157852649688721,0.7412755102040817,0.8175178537189013,0.5138511867523193,0.7456224489795918,0.8192577256560767,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v13_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,14,c5_v14_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,42,62,0.49979608416557314,0.7552678571428572,0.8279355254307406,0.5158235764503479,0.7486224489795918,0.813222346640701,0.5096272857189178,0.7490408163265306,0.819926752685613,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v14_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,15,c5_v15_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,65,85,0.47011081337928773,0.7687244897959183,0.8447496686020284,0.4988536238670349,0.7536224489795919,0.8232109733150534,0.5035015168190002,0.7504387755102041,0.8193133909586056,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v15_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,16,c5_v16_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,45,65,0.4940593230724335,0.7600637755102041,0.8301894415191586,0.5060542619228363,0.7528061224489796,0.8175438835216722,0.5002385046482086,0.7579489795918367,0.8237910166047252,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v16_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,17,c5_v17_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,51,71,0.48652563214302064,0.7558928571428571,0.8358833506144254,0.49356404662132264,0.7553061224489795,0.8330842483385579,0.5079250311851502,0.7426632653061225,0.819601174892082,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v17_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,18,c5_v18_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,39,59,0.4986064922809601,0.7541326530612245,0.8304463960789995,0.5121831679344178,0.7473469387755102,0.8188239069462142,0.5144314732551575,0.7456632653061225,0.8186997935712771,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v18_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,5,19,c5_v19_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,34,54,0.5032067477703095,0.7501785714285715,0.8254391937929783,0.518248689174652,0.7451020408163266,0.8152557218910071,0.5139617791175842,0.7433877551020408,0.8168186353107101,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c5_v19_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
