epoch,train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
1,0.6533774781227112,0.610829081632653,0.6257414964004606,0.646332094669342,0.6233673469387755,0.6462597842995443
2,0.6422008490562439,0.6322704081632653,0.6496294007793009,0.6404199147224426,0.6320918367346938,0.6569606230047655
3,0.6366321992874145,0.635280612244898,0.6607381266698966,0.6281578207015991,0.6395408163265306,0.6769251380348087
4,0.626523780822754,0.6440051020408163,0.6794285185022576,0.62438805103302,0.6484183673469388,0.680813406728584
5,0.6210147714614869,0.6514413265306123,0.6891199506566332,0.6162415337562561,0.6568367346938776,0.700339822288186
6,0.6120725321769714,0.6636607142857143,0.7052356847570664,0.6067554950714111,0.6689795918367347,0.7130084112278195
7,0.6051146221160889,0.6683163265306122,0.7152802529177211,0.6077790307998657,0.6684183673469388,0.7092922887916491
8,0.5901214838027954,0.6794005102040817,0.7348542915840013,0.5775041437149048,0.69,0.7514557865323546
9,0.5676238298416137,0.6993494897959184,0.7627537065892019,0.5647117376327515,0.6929591836734694,0.764825258201357
10,0.5553283476829529,0.7094897959183674,0.7760249812620296,0.5484728121757507,0.7101530612244898,0.7823232530844163
11,0.5427894282341004,0.7195918367346938,0.788692077808175,0.5414467430114747,0.7141836734693877,0.7886753724903047
12,0.5364422965049743,0.7219770408163265,0.794356960715688,0.5380375242233276,0.7167346938775511,0.7923401405967665
13,0.5315717077255249,0.7249617346938776,0.7984923902076515,0.5346152353286743,0.7218877551020408,0.7954023645100614
14,0.5299458241462708,0.7270918367346939,0.8001118189143116,0.5353129720687866,0.7190816326530612,0.7952482853751598
15,0.524236787557602,0.7299744897959184,0.8051470238645408,0.5298071312904358,0.7206122448979592,0.7993582624751759
16,0.5226020264625549,0.7312882653061225,0.8064728790997969,0.5265129923820495,0.7264285714285714,0.8027564638293352
17,0.5201314890384674,0.731313775510204,0.808343514150965,0.5264141416549682,0.7270408163265306,0.8030863866044142
18,0.5193160474300385,0.7326147959183673,0.8092604749214662,0.523751585483551,0.7270408163265306,0.8053463430825077
19,0.5176722455024719,0.7343877551020408,0.8106500030055703,0.5258728551864624,0.7266836734693878,0.8039475269187482
20,0.5174672472476959,0.7338137755102041,0.8110731667951223,0.5257244324684143,0.7259183673469388,0.8040441809123804
21,0.514847754240036,0.7357015306122449,0.8132677480274773,0.5186195707321167,0.7298979591836735,0.8101844139254127
22,0.5121982479095459,0.7380102040816326,0.8157197926100466,0.5209078097343445,0.7281632653061224,0.8081743187039798
23,0.5092816221714019,0.7399872448979592,0.8183877572286578,0.5210086631774903,0.7310714285714286,0.8107574382591736
24,0.5097675621509552,0.7411862244897959,0.8181234055522026,0.5156570076942444,0.7372448979591837,0.8131481270809011
25,0.5062566804885864,0.7441326530612244,0.8213087531657965,0.5131842279434204,0.7363775510204081,0.8152650266067848
26,0.5053602707386017,0.7447576530612245,0.8219480994807384,0.5145477890968323,0.7363265306122448,0.8140848080965337
27,0.505584591627121,0.7445280612244898,0.8217465628514026,0.5107418012619018,0.7387755102040816,0.8175784740388686
28,0.5013354754447937,0.7491836734693877,0.8255532819805094,0.5124243545532227,0.7366836734693878,0.8161892215560869
29,0.4986434876918793,0.7512117346938776,0.827727612832702,0.5083714652061463,0.7416326530612245,0.8196179115161777
30,0.4969848823547363,0.7513265306122449,0.8290219817975939,0.5109214544296264,0.7421938775510204,0.8189841736848855
31,0.4964454984664917,0.7516454081632653,0.8295018342001834,0.5074199795722961,0.7402551020408163,0.8204578524273758
32,0.4975008773803711,0.7510076530612245,0.8285572356569924,0.5098462319374084,0.7415816326530612,0.8196438470134391
33,0.4977856969833374,0.7513265306122449,0.8284877241027713,0.5083737802505494,0.7384693877551021,0.8198333715073284
34,0.49473325252532957,0.7518494897959184,0.8307061487906359,0.5070157408714294,0.7426530612244898,0.8212867711558822
35,0.4936353838443756,0.7542091836734693,0.8316588713791533,0.50803959608078,0.7411734693877551,0.8199821655917402
36,0.4932947373390198,0.7532015306122449,0.8320186752879262,0.5072958135604858,0.7432142857142857,0.8211244630574379
37,0.49259610056877134,0.7536989795918367,0.8324944335297335,0.5057787561416626,0.744234693877551,0.8220920793787889
38,0.4921864938735962,0.7533801020408163,0.832678656967408,0.5043129467964172,0.745765306122449,0.8235069121517724
39,0.4903623366355896,0.7548341836734694,0.834077032288645,0.5049995446205139,0.7433673469387755,0.8224924569359071
40,0.4899094557762146,0.7553698979591836,0.8344514484409915,0.504903428554535,0.7439795918367347,0.822533542552444
41,0.4891539716720581,0.7558545918367346,0.8350742185535958,0.5066827249526977,0.7441326530612244,0.8215694137185854
42,0.49104368686676025,0.7552423469387755,0.8336269306979984,0.5076811218261719,0.7421938775510204,0.8209244761010717
43,0.4912730872631073,0.7546428571428572,0.8333937089121384,0.5037284183502198,0.7447448979591836,0.8239149912437693
44,0.4892337954044342,0.7557525510204082,0.8349132213849377,0.5079384636878967,0.7402551020408163,0.8204834542452782
45,0.4894817161560059,0.7553954081632653,0.8345852261372926,0.5050528430938721,0.7424489795918368,0.8228997556487583
46,0.4880428421497345,0.7564030612244897,0.8358519472337504,0.5069764471054077,0.7423979591836735,0.8215546134244438
47,0.48686651706695555,0.7579719387755102,0.8366989912741648,0.5043263292312622,0.7461224489795918,0.8233638659634126
48,0.48697315096855165,0.7573852040816327,0.8366000011565684,0.5056952142715454,0.7441836734693877,0.8222443932422436
49,0.4871782660484314,0.7572959183673469,0.8363926897615725,0.5071240282058715,0.7434183673469388,0.821014671784533
50,0.4866712439060211,0.7566581632653061,0.83673298263518,0.5087568116188049,0.7415816326530612,0.8199264034653397
51,0.4870399987697601,0.7583163265306122,0.8367197043759349,0.5059311079978943,0.7428061224489796,0.8221418514225058
52,0.48474040627479553,0.7580739795918368,0.8383196752183488,0.5084066915512085,0.7431632653061224,0.8208142219826045
53,0.4849141311645508,0.7592984693877551,0.8381398760722906,0.5073148775100708,0.7425,0.8217399723082729
54,0.4857268488407135,0.757704081632653,0.8375057172872232,0.5063800954818726,0.7444387755102041,0.8222562765329582
55,0.4843979752063751,0.7595790816326531,0.8384748844968795,0.5087573051452636,0.7427551020408163,0.8200112226055839
56,0.48514322757720946,0.7586224489795919,0.8379860256809242,0.5047473764419556,0.7443877551020408,0.8231242680379984
57,0.48452105283737185,0.7601020408163265,0.8385277855232327,0.5084415078163147,0.741938775510204,0.8203474314692293
58,0.4847215282917023,0.7598214285714285,0.8384719018775295,0.5069026589393616,0.7454081632653061,0.8215486825429368
59,0.48475112199783327,0.7584183673469388,0.8382951105901815,0.5104669117927552,0.743061224489796,0.819226048164635
60,0.48317124605178835,0.7602678571428572,0.8394364166317516,0.5055201005935669,0.7450510204081633,0.8227611872221171
61,0.4833360719680786,0.7605612244897959,0.8393680021483959,0.5080614709854125,0.7430102040816327,0.821286195289892
62,0.48203147292137144,0.7611734693877551,0.8402575755206623,0.5057248449325562,0.7435204081632653,0.8226001223483805
63,0.4819318687915802,0.7602933673469388,0.8403103274665268,0.5071621203422546,0.7454591836734694,0.8220124322686067
