epoch,train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
1,0.6528608202934265,0.6199107142857143,0.6081946848040272,0.643345901966095,0.6308163265306123,0.6278929189534834
2,0.6430550003051758,0.6303826530612245,0.6328071528658119,0.6396859645843506,0.6305102040816326,0.6369793964970726
3,0.6394930243492126,0.6329846938775511,0.6412129074598316,0.6350322389602661,0.6380102040816327,0.6475301281001472
4,0.6336742758750915,0.638686224489796,0.6532320920533252,0.6293743538856507,0.643265306122449,0.6581172622334586
5,0.6273011183738708,0.6438137755102041,0.6663845315881068,0.6184449768066407,0.6476530612244898,0.6799166829202455
6,0.613631591796875,0.6570663265306123,0.6916062998431495,0.604915132522583,0.664795918367347,0.7006032066596604
7,0.5963766956329346,0.6726147959183674,0.7175021398245699,0.5879593133926392,0.6788265306122448,0.7279596889298177
8,0.5782098460197449,0.6870408163265306,0.7415265981793091,0.5684845995903015,0.6914285714285714,0.7522583312279119
9,0.5657350873947143,0.6941454081632653,0.7558164878772586,0.5590340805053711,0.7013775510204082,0.7618206861287158
10,0.5557059741020203,0.7052423469387755,0.7675245101609622,0.5510132813453674,0.7098469387755102,0.7730678390091928
11,0.5495925283432007,0.7081887755102041,0.7743711727523351,0.5431248331069947,0.715969387755102,0.7808799317267391
12,0.5404116415977478,0.7136224489795918,0.7842777639587527,0.5328879904747009,0.7234183673469388,0.7910351897526466
13,0.5305698132514953,0.7229591836734693,0.7941079192271573,0.532938334941864,0.7201020408163266,0.7904538739890892
14,0.5283536481857299,0.7232780612244898,0.795921086469261,0.5265620088577271,0.7277551020408163,0.7967050470585686
15,0.5239255487918854,0.7276275510204082,0.8006631217086203,0.5257396900653839,0.7259183673469388,0.7974546154814721
16,0.5208103764057159,0.7310586734693878,0.8032192160333619,0.5268896174430847,0.7264285714285714,0.7974462980382411
17,0.5199286425113678,0.7317474489795919,0.8041331917809362,0.5203534412384033,0.7329081632653062,0.8028693588079721
18,0.5168277037143707,0.7330229591836734,0.8067492189695934,0.5209989047050476,0.7326530612244898,0.8032719921895038
19,0.5135165393352509,0.7370918367346939,0.8097343173603677,0.5170198369026184,0.7358163265306122,0.8071915818257281
20,0.5111758446693421,0.7385076530612245,0.8118293056459324,0.514057787656784,0.739030612244898,0.809020673180717
21,0.5102027928829194,0.7393367346938775,0.8128204670518752,0.5100746142864228,0.7409183673469387,0.8126294559837995
22,0.5065287482738495,0.7409183673469387,0.8158289417506711,0.5107648980617523,0.740969387755102,0.8121975743899559
23,0.5053802919387818,0.7421428571428571,0.8170205204249935,0.5095192790031433,0.7432142857142857,0.81263382319014
24,0.5037781095504761,0.7435204081632653,0.8183915101874706,0.5090457427501679,0.7418877551020409,0.8133234577411064
25,0.5031986808776856,0.7454209183673469,0.8188433188741254,0.5094416761398315,0.7444897959183674,0.8130928077982065
26,0.5013985288143158,0.7463520408163266,0.8203889784440219,0.5092046344280243,0.7413265306122448,0.8129617202842743
27,0.5022279369831085,0.7452933673469387,0.8194224679390479,0.5060933220386505,0.7446938775510205,0.8159245844913151
28,0.49975248098373415,0.7464795918367347,0.8216921209063233,0.508315179347992,0.7420408163265306,0.8140893154047443
29,0.4991036260128021,0.7472704081632653,0.8222619261456301,0.5037193250656128,0.7465816326530612,0.81786186844559
30,0.49554125070571897,0.7495025510204082,0.8253335557289581,0.5025885367393493,0.7476020408163265,0.8191447737131486
31,0.4946246361732483,0.7513010204081633,0.8260408126616278,0.5059680235385895,0.7443367346938775,0.8157884439660268
32,0.4938451325893402,0.7510841836734694,0.826633953544999,0.5028626847267151,0.7456632653061225,0.8183393368704414
33,0.4931263589859009,0.7525382653061224,0.8272958404361734,0.5042071712017059,0.7468367346938776,0.8174260805063764
34,0.49102738618850705,0.7526785714285714,0.8289041047311797,0.5028563702106476,0.7448979591836735,0.8186639421005
35,0.4916371297836304,0.7531377551020408,0.8284903144525979,0.4995280885696411,0.7478061224489796,0.8212952881629232
36,0.48993266105651856,0.7533035714285714,0.8297664239261465,0.5026141595840454,0.7475,0.8187076690283048
37,0.49133504986763,0.7524107142857143,0.8287634419520462,0.502280091047287,0.7481632653061224,0.8196317336794181
38,0.4904458498954773,0.7543367346938775,0.8295432221982665,0.5016596996784211,0.7466836734693878,0.8197814531440182
39,0.488794424533844,0.755140306122449,0.8305558476810964,0.5009434473514557,0.7469897959183673,0.8205257765301612
40,0.4877388393878937,0.7548341836734694,0.8315603154273505,0.5011267125606537,0.7475,0.8194255587459205
41,0.4874522542953491,0.7553061224489795,0.8316657785965936,0.5009284114837647,0.7464795918367347,0.8199316718746699
42,0.4862078130245209,0.756734693877551,0.8327662761574264,0.5041130566596985,0.7464795918367347,0.8176081699677205
43,0.4866743004322052,0.7555994897959184,0.8322897089299155,0.5025029790401458,0.7466326530612245,0.8185826934086731
44,0.48702392816543577,0.7557270408163266,0.8320836082755045,0.5066916584968567,0.7443367346938775,0.8162105322642456
45,0.4886795222759247,0.7551785714285715,0.8306972926434086,0.5000180196762085,0.7471428571428571,0.8202919499384285
46,0.4851315665245056,0.7567729591836735,0.833483903082634,0.49905407667160034,0.7460714285714286,0.8214398064822839
47,0.4839530789852142,0.7574617346938776,0.8345352187831173,0.5026075088977814,0.7455102040816326,0.8193069199646343
48,0.48420324325561526,0.7578571428571429,0.8342373460696565,0.5008186578750611,0.7469897959183673,0.8203174673714547
49,0.4850024378299713,0.758188775510204,0.8337838469242056,0.49976205110549926,0.7485714285714286,0.8211157444097976
50,0.4837353515625,0.7585331632653062,0.8346916291068558,0.5019553995132446,0.748061224489796,0.8190840827124739
51,0.48334511399269103,0.7585969387755102,0.8350171492107099,0.5018068790435791,0.7461224489795918,0.8196529168247447
52,0.48247079610824584,0.7585331632653062,0.8355537091020737,0.5049589133262634,0.7427040816326531,0.8173709527559897
53,0.48276310205459594,0.7578571428571429,0.8352051219413017,0.5040654742717743,0.7458673469387755,0.8181582898327213
54,0.48133878350257875,0.7584693877551021,0.8364707790692558,0.5025176012516022,0.7470408163265306,0.8186960048565968
55,0.4805551040172577,0.7590178571428572,0.8369229496309591,0.5024484825134278,0.745969387755102,0.8193637869165411
56,0.4787825798988342,0.7602678571428572,0.8382827961022816,0.5029960978031158,0.7466836734693878,0.8187960281465352
57,0.4783207643032074,0.7622831632653061,0.8386715906905424,0.5006358683109283,0.7475,0.8205503612683662
58,0.478649343252182,0.7604464285714285,0.8384168942151665,0.5021272230148316,0.7454081632653061,0.8191535739631108
59,0.47651782393455505,0.7619897959183674,0.8400556441764427,0.5014601981639862,0.7454081632653061,0.8201183479999594
60,0.4760671627521515,0.7621045918367347,0.8405430034131911,0.5021650397777557,0.7444897959183674,0.8197466032763375
61,0.4760545313358307,0.7623979591836735,0.8403796241756285,0.5032003402709961,0.7470918367346939,0.8190522503868626
