iter,loss,elbo,kl,weighted_kl,kl_weight
1,43678.203125,-43678.203125,0.2980640232563019,0.0005961280465126038,0.002
2,43308.90625,-43308.90625,0.33549192547798157,0.0013419677019119263,0.004
3,42903.1953125,-42903.1953125,0.43614545464515686,0.002616872727870941,0.006
4,42334.44140625,-42334.4375,0.5866033434867859,0.004692826747894287,0.008
5,41609.44921875,-41609.44140625,0.7850146889686584,0.007850146889686585,0.01
6,40698.18359375,-40698.171875,1.035509705543518,0.012426116466522218,0.012
7,39087.68359375,-39087.65625,1.3561291694641113,0.01898580837249756,0.014
8,37090.69140625,-37090.65625,1.7607336044311523,0.02817173767089844,0.016
9,34955.9765625,-34955.9375,2.277996778488159,0.04100394201278686,0.018
10,32193.32421875,-32193.265625,2.9141764640808105,0.05828352928161621,0.02
11,29307.8125,-29307.736328125,3.656663656234741,0.0804466004371643,0.022
12,27299.578125,-27299.46875,4.48189115524292,0.10756538772583008,0.024
13,27177.583984375,-27177.4453125,5.314356327056885,0.138173264503479,0.026
14,26070.951171875,-26070.783203125,6.027695655822754,0.1687754783630371,0.028
15,24015.248046875,-24015.048828125,6.6266279220581055,0.19879883766174317,0.03
16,22055.3515625,-22055.12109375,7.178914546966553,0.22972526550292968,0.032
17,20165.228515625,-20164.96484375,7.744980812072754,0.26332934761047366,0.034
18,19029.568359375,-19029.26953125,8.362113952636719,0.30103610229492184,0.036
19,18468.6015625,-18468.2578125,9.048287391662598,0.3438349208831787,0.038
20,17728.265625,-17727.873046875,9.798537254333496,0.39194149017333985,0.04
21,17598.26953125,-17597.8203125,10.610090255737305,0.4456237907409668,0.042
22,17386.09375,-17385.591796875,11.454595565795898,0.5040022048950195,0.044
23,17256.578125,-17256.013671875,12.311922073364258,0.5663484153747559,0.046
24,16764.8515625,-16764.220703125,13.15335750579834,0.6313611602783203,0.048
25,16130.53515625,-16129.8369140625,13.97279167175293,0.6986395835876466,0.05
26,15691.7314453125,-15690.9638671875,14.754338264465332,0.7672255897521972,0.052
27,15134.65625,-15133.818359375,15.510327339172363,0.8375576763153076,0.054
28,14732.79296875,-14731.8828125,16.242666244506836,0.9095893096923828,0.056
29,14420.1162109375,-14419.1328125,16.966564178466797,0.9840607223510742,0.058
30,14148.2568359375,-14147.1943359375,17.698057174682617,1.061883430480957,0.06
31,13946.6455078125,-13945.501953125,18.452220916748047,1.144037696838379,0.062
32,13831.20703125,-13829.974609375,19.243207931518555,1.2315653076171875,0.064
33,13662.96875,-13661.64453125,20.073524475097656,1.3248526153564453,0.066
34,13463.2724609375,-13461.849609375,20.94137191772461,1.4240132904052736,0.068
35,13181.0673828125,-13179.5390625,21.85127830505371,1.5295894813537598,0.07
36,13136.7314453125,-13135.0888671875,22.80698585510254,1.6421029815673827,0.072
37,12947.8427734375,-12946.0810546875,23.808286666870117,1.7618132133483886,0.074
38,12901.6845703125,-12899.7958984375,24.844654083251953,1.8881937103271484,0.076
39,12633.400390625,-12631.380859375,25.900602340698242,2.020246982574463,0.078
40,12635.5263671875,-12633.373046875,26.946340560913086,2.1557072448730468,0.08
41,12607.263671875,-12604.970703125,27.95686912536621,2.2924632682800294,0.082
42,12531.4755859375,-12529.046875,28.91191864013672,2.4286011657714845,0.084
43,12453.2607421875,-12450.69921875,29.77373695373535,2.56054137802124,0.086
44,12436.53125,-12433.8427734375,30.543630599975586,2.6878394927978513,0.088
45,12527.1376953125,-12524.330078125,31.208425521850586,2.8087582969665528,0.09
46,12411.9404296875,-12409.01953125,31.758317947387695,2.921765251159668,0.092
47,12353.3203125,-12350.294921875,32.19102096557617,3.0259559707641603,0.094
48,12384.4111328125,-12381.28515625,32.5504150390625,3.1248398437500002,0.096
49,12320.212890625,-12316.9921875,32.861026763916016,3.2203806228637695,0.098
50,12195.7802734375,-12192.46875,33.130401611328125,3.313040161132813,0.1
51,12296.646484375,-12293.2421875,33.370174407958984,3.403757789611816,0.102
52,12364.009765625,-12360.5166015625,33.5911750793457,3.4934822082519528,0.104
53,12292.8349609375,-12289.25390625,33.78388977050781,3.581092315673828,0.106
54,12352.25390625,-12348.5849609375,33.96920394897461,3.6686740264892577,0.108
55,12310.396484375,-12306.640625,34.134334564208984,3.754776802062988,0.11
56,12157.8046875,-12153.9658203125,34.28557586669922,3.8399844970703128,0.112
57,12239.826171875,-12235.900390625,34.434776306152344,3.9255644989013674,0.114
58,12209.373046875,-12205.3623046875,34.57136917114258,4.0102788238525395,0.116
59,12312.2509765625,-12308.1552734375,34.70469665527344,4.095154205322266,0.118
60,12183.451171875,-12179.2705078125,34.83687973022461,4.180425567626953,0.12
61,12277.40234375,-12273.1357421875,34.97002410888672,4.266342941284179,0.122
62,12217.494140625,-12213.140625,35.11300277709961,4.354012344360352,0.124
63,12145.435546875,-12140.994140625,35.24612808227539,4.441012138366699,0.126
64,12163.9609375,-12159.4345703125,35.36115264892578,4.5262275390625,0.128
65,12165.154296875,-12160.546875,35.45127487182617,4.608665733337403,0.13
66,12104.5341796875,-12099.8466796875,35.51519012451172,4.688005096435547,0.132
67,12179.7802734375,-12175.017578125,35.54729080200195,4.763336967468262,0.134
68,12079.0498046875,-12074.2138671875,35.55978775024414,4.836131134033203,0.136
69,12136.3955078125,-12131.490234375,35.54088592529297,4.90464225769043,0.138
70,12075.20703125,-12070.236328125,35.49768829345703,4.969676361083985,0.14
71,12130.7958984375,-12125.76171875,35.451602935791016,5.034127616882324,0.142
72,12164.9267578125,-12159.828125,35.39668273925781,5.097122314453125,0.144
73,12124.3828125,-12119.2197265625,35.361297607421875,5.162749450683593,0.146
74,12113.5185546875,-12108.2861328125,35.34617233276367,5.2312335052490235,0.148
75,12009.6181640625,-12004.314453125,35.3604850769043,5.304072761535644,0.15
76,12039.15625,-12033.7763671875,35.391815185546875,5.379555908203125,0.152
77,12001.724609375,-11996.265625,35.447235107421875,5.458874206542968,0.154
78,12074.8330078125,-12069.291015625,35.524227142333984,5.541779434204101,0.156
79,12036.7001953125,-12031.0712890625,35.62324905395508,5.628473350524902,0.158
80,12120.0537109375,-12114.337890625,35.72613525390625,5.716181640625,0.16
81,12046.484375,-12040.6787109375,35.847293853759766,5.807261604309082,0.162
82,12067.8984375,-12061.994140625,35.992767333984375,5.902813842773438,0.164
83,12017.0302734375,-12011.0302734375,36.14241409301758,5.999640739440919,0.166
84,11982.9560546875,-11976.8583984375,36.291072845458984,6.09690023803711,0.168
85,11997.6708984375,-11991.474609375,36.44611740112305,6.195839958190918,0.17
